name	curr_time	lon	lat	alt	vel_x	vel_y	vel_z
FREGAT DEB	2024-07-01T00:29:32.019+05:30	90.0	-18.316868624178767	-6355445.041085944	0.029378095512610437	4.424103091943881	5.065092016778928
CSS (MENGTIAN)	2024-07-01T00:41:32.019+05:30	90.0	7.653120090566953	-6353301.106430373	-2.819490713691229	6.44442561655952	3.1996711930126276
ISS (ZARYA)	2024-07-01T01:08:32.019+05:30	90.0	-13.896113940149917	-6352072.072644906	4.217353620361379	5.826563315208402	-2.763028784256045
TIANZHOU-5	2024-07-01T02:13:32.019+05:30	90.0	13.23449198516719	-6353044.403648005	-3.410026637761598	6.349351375575422	2.7884807121766584
SOYUZ-MS 22	2024-07-01T02:32:32.019+05:30	90.0	22.963399901298516	-6354846.302305266	-0.4029130805118698	5.241305041596505	-5.6298531221013866
CREW DRAGON 5	2024-07-01T03:58:32.019+05:30	90.0	6.6329753926720345	-6353198.702187864	2.1175477053993235	5.917016827294967	-4.455682324036084
SHENZHOU-15	2024-07-01T03:48:32.019+05:30	90.0	33.57526037991655	-6352489.122904284	-5.101412365061823	5.643205893055199	1.358915289540192
CYGNUS NG-18	2024-07-01T05:38:32.019+05:30	90.0	30.57169570872555	-6355976.61610501	-1.8418536406524129	4.498090871118587	-5.973740181660557
SHENZHOU-15	2024-07-01T06:55:32.019+05:30	90.0	63.44903592398772	-6352372.344879172	-6.588239209989192	3.9769726615936074	-0.7033300443152765
SL-4 R/B	2024-07-01T06:22:32.019+05:30	90.0	-30.95180680457657	-6355559.959099965	1.593149736230045	4.768256612261198	5.945594129856725
CYGNUS NG-18	2024-07-01T08:53:32.019+05:30	-90.0	62.425148079435495	-6353383.520124621	-6.131785057844455	0.17416504448962725	-4.644732933019653
CREW DRAGON 5	2024-07-01T08:53:32.019+05:30	-90.0	62.425148079435495	-6353383.520124621	-6.131785057844455	0.17416504448962725	-4.644732933019653
CYGNUS NG-18	2024-07-01T08:31:32.019+05:30	90.0	1.6306201844557617	-6352903.207824679	2.7228796238743938	5.9130464372414275	-4.119887494485283
CSS (MENGTIAN)	2024-07-01T11:27:32.019+05:30	90.0	63.77605605444979	-6352385.431555562	-6.55800888856171	4.007651427528691	-0.8047332855591401
CSS (TIANHE)	2024-07-01T11:46:32.019+05:30	90.0	-11.204018038221358	-6354269.643963279	-0.45735210546261945	6.4468519926807115	4.2354827293659785
CREW DRAGON 5	2024-07-01T11:34:32.019+05:30	90.0	1.838868079942349	-6352962.064545507	2.6865427825039383	5.879535835464668	-4.1910852632818205
CREW DRAGON 5	2024-07-01T13:03:32.019+05:30	90.0	-7.718719118347667	-6352416.718479692	3.7187823993319733	5.813364846032184	-3.425232619751515
CSS (MENGTIAN)	2024-07-01T14:25:32.019+05:30	90.0	46.41358696705067	-6352338.399507606	-5.776321870579305	5.124136848125599	0.3070698693404089
PROGRESS-MS 22	2024-07-01T13:18:32.019+05:30	-90.0	36.529215925769684	-6356411.577805129	-3.0869026880522483	3.6653058657533175	-6.027039335926851
SHENZHOU-15	2024-07-01T15:50:32.019+05:30	90.0	18.034374244376163	-6352764.353843073	-3.803407213545281	6.3533901629036915	2.2108023256078013
ISS DEB	2024-07-01T15:56:32.019+05:30	-90.0	-2.3781806139190795	-6352507.589215337	-2.660352516198016	6.405358721683008	-3.4895674594452006
TIANZHOU-5	2024-07-01T19:01:32.019+05:30	90.0	67.75162774035745	-6352455.124971962	-6.616743436797823	3.8052871455424784	-1.2065131481032918
ISS (ZARYA)	2024-07-01T19:34:32.019+05:30	90.0	16.778777099461816	-6354575.095741223	0.3538386634088317	5.3833028914204215	-5.4991587303647895
ISS (NAUKA)	2024-07-01T19:35:32.019+05:30	-90.0	68.30191902153838	-6352779.73095134	-6.569692280007747	-0.5100298245333085	-3.9701034119261895
ISS DEB	2024-07-01T20:26:32.019+05:30	-90.0	11.677151952966566	-6351958.262707142	-3.7952992141007758	6.367839744911593	-2.3033468018294245
SOYUZ-MS 22	2024-07-01T22:13:32.019+05:30	90.0	-2.853266903772203	-6352798.948763268	3.203395517412603	5.76118393519559	-3.9877253837987015
CREW DRAGON 5	2024-07-01T22:19:32.019+05:30	90.0	16.18222969417264	-6354526.444961529	0.4424972250503967	5.4022574509443455	-5.473204618590993
PROGRESS-MS 22	2024-07-01T22:11:32.019+05:30	90.0	-10.852703258640137	-6352359.363030543	4.025079982069662	5.664370374786304	-3.3275424884944993
SHENZHOU-15	2024-07-01T23:23:32.019+05:30	90.0	16.804084224630348	-6352743.679304964	-3.6484311479201206	6.460890483306727	2.16002549121991
CSS (TIANHE)	2024-07-01T22:35:32.019+05:30	90.0	53.78548359791199	-6352338.603221325	-6.059731139735174	4.784515302130789	-0.3171265308612988
SHENZHOU-15	2024-07-01T23:22:32.019+05:30	90.0	12.232720014048134	-6352882.823959879	-3.230068553488704	6.569062738267838	2.4767443140902166
