name	curr_time	lon	lat	alt	vel_x	vel_y	vel_z
ISS (NAUKA)	2024-07-01T01:06:32.019+05:30	-90.0	36.81108157853064	-6356751.860981949	-2.856631118497404	3.828497365566869	-6.0396289800558005
FREGAT DEB	2024-07-01T00:22:32.019+05:30	-90.0	-29.967813074779304	-6355897.771699164	2.1192040670584724	3.486502245713782	5.130458032023281
CYGNUS NG-18	2024-07-01T00:57:32.019+05:30	90.0	12.98802273481669	-6353696.1036782535	1.2503871432541316	5.79638787401546	-4.917438719081138
ISS DEB	2024-07-01T01:15:32.019+05:30	-90.0	48.55767490527588	-6351573.228789859	-5.85340249751925	5.096239557388446	-0.0427187372701186
ISS (ZARYA)	2024-07-01T04:21:32.019+05:30	90.0	21.527558768996027	-6354762.827201041	-0.21513377456439509	5.293781329456068	-5.592010216394551
CSS (WENTIAN)	2024-07-01T03:49:32.019+05:30	90.0	38.66594359121495	-6352417.932776469	-5.4321144497778855	5.402003003819846	1.0133853360288387
PROGRESS-MS 22	2024-07-01T05:41:32.019+05:30	-90.0	37.92145283276643	-6356443.943419622	-3.151484505138284	3.606160775530705	-6.029289130177608
CYGNUS NG-18	2024-07-01T05:37:32.019+05:30	90.0	28.078579188418196	-6355620.330658612	-1.3849786509198425	4.754790622553687	-5.89838563885805
ISS DEB	2024-07-01T07:10:32.019+05:30	-90.0	41.88247140363477	-6351584.340279253	-5.5363374571936	5.424741037061632	-0.3986637440746997
FREGAT DEB	2024-07-01T06:27:32.019+05:30	90.0	-22.797965457010356	-6356126.138434775	0.774423801131362	4.1559507506507005	5.147001727938633
ISS (NAUKA)	2024-07-01T08:39:32.019+05:30	90.0	25.496162553574	-6355351.275850537	-0.9752599281711277	4.947413896386369	-5.821854772790948
PROGRESS-MS 22	2024-07-01T08:53:32.019+05:30	-90.0	62.425148079435495	-6353383.520124621	-6.131785057844455	0.17416504448962725	-4.644732933019653
CYGNUS NG-18	2024-07-01T11:30:32.019+05:30	90.0	-14.570777509139958	-6352111.677195194	4.310410166143723	5.714106076109605	-2.851098260469572
TIANZHOU-5	2024-07-01T11:28:32.019+05:30	90.0	68.93292738958012	-6352444.192343333	-6.721033582321952	3.635084916008144	-1.1533710087706186
PROGRESS-MS 22	2024-07-01T13:25:32.019+05:30	-90.0	54.84980356692299	-6354015.767003325	-5.594677566229958	1.1332232285773933	-5.161268235144163
ISS (ZARYA)	2024-07-01T13:28:32.019+05:30	90.0	16.473036794080663	-6354386.217977814	0.5076334001280423	5.475372805580529	-5.39537592158505
CSS (MENGTIAN)	2024-07-01T14:18:32.019+05:30	90.0	11.979864998699844	-6352973.456234918	-3.246000740046061	6.489948135552087	2.657710628048614
ISS DEB	2024-07-01T16:02:32.019+05:30	-90.0	29.043420574104303	-6351663.608342179	-4.862440833009591	5.943100057655082	-1.1313949688834573
CSS (WENTIAN)	2024-07-01T17:16:32.019+05:30	90.0	-1.7211631172807769	-6353559.302533042	-1.7335928542735002	6.646648470147408	3.5406463365209175
ISS DEB	2024-07-01T17:25:32.019+05:30	-90.0	-2.4915516701690468	-6352497.364729996	-2.6447056475906523	6.421220701667843	-3.4722529520771377
CSS (MENGTIAN)	2024-07-01T17:28:32.019+05:30	90.0	55.495786779709675	-6352341.039515356	-6.179480438516494	4.626638473343187	-0.35388719683515285
CSS (MENGTIAN)	2024-07-01T17:22:32.019+05:30	90.0	24.43832466341397	-6352594.545334289	-4.3258990111156095	6.162031018040336	1.7420385588527234
SHENZHOU-15	2024-07-01T18:59:32.019+05:30	90.0	57.37896353862298	-6352352.184572153	-6.244005881518803	4.524698310469808	-0.5065815606394719
CREW DRAGON 5	2024-07-01T19:32:32.019+05:30	-90.0	58.0323366172064	-6353573.332228584	-5.961789705180247	0.679978714583225	-4.817064644553059
FREGAT DEB	2024-07-01T20:25:32.019+05:30	-90.0	-28.562260173735677	-6356600.777818086	1.6336000701397941	3.7555205667295115	5.162497561007343
SL-4 R/B	2024-07-01T21:19:32.019+05:30	90.0	4.766511493418161	-6352260.281972419	-3.3414137456350024	6.339509723408646	3.0166208894555164
ISS DEB	2024-07-01T20:19:32.019+05:30	-90.0	-17.85812162714389	-6353459.456868797	-0.8657586546164642	6.120233882936457	-4.702883113682407
CREW DRAGON 5	2024-07-01T22:16:32.019+05:30	90.0	7.4069724740228935	-6353595.614081657	1.8624898721514291	5.70256491288881	-4.833129205673241
