name	curr_time	lon	lat	alt	vel_x	vel_y	vel_z
PHASE 3B (AO-10)	2024-07-01T00:58:19.114+05:30	90.0	27.64369451160875	-6346092.538383855	0.20426747335780504	3.2155439158243735	1.603176298681485
LUSAT (LO-19)	2024-07-01T00:30:19.114+05:30	-90.0	-11.267603477582158	-6353741.219704907	-3.2709217671859383	-0.6382846176638741	-6.6774273189631215
OSCAR 7 (AO-7)	2024-07-01T01:01:19.114+05:30	89.16653202860253	27.846571769836633	-6192900.114054442	6.713100672437921	-0.8046401426416102	-2.306323931955119
RIGIDSPHERE 2 (LCS 4)	2024-07-01T01:10:19.114+05:30	-90.0	-2.9271231360418457	-6356573.137551424	-0.11592254105710155	0.3167500661103054	-7.4563486600608
USA 65 (DSP 15)	2024-07-01T01:45:19.114+05:30	79.21152033902906	42.48146740714709	-6175600.155419234	-2.1111607346127452	2.1658679731426504	0.4441131785552996
INMARSAT 3-F3	2024-07-01T01:10:19.114+05:30	-85.41228641761673	-20.01643383142144	-5876728.819998977	1.0657027284878142	2.8765376207448994	0.11074717501595861
TDRS 7	2024-07-01T01:15:19.114+05:30	90.0	4.514898193186211	-6354711.939392856	-0.2778353713463539	2.9814367488078735	0.7126652659020013
OPS 5712 (P/L 153)	2024-07-01T01:58:19.114+05:30	90.0	-20.26839049218469	-6350174.1247177925	5.808991441042612	4.182703146874299	-1.8828862821678953
OPS 3811 (DSP 2)	2024-07-01T01:20:19.114+05:30	83.1599257489393	33.16675970219124	-6040015.04557707	-1.6637922691820304	2.5564063461421274	-0.03321499922038302
UFO 2 (USA 95)	2024-07-01T02:25:19.114+05:30	87.13133960626118	50.863306574528565	-5565786.82898752	-2.400127603019525	1.870147530785612	0.44518835111830285
OPS 8701 (DSP 10)	2024-07-01T03:55:19.114+05:30	84.45664114148248	-23.353228101306037	-5957719.368361693	1.1570527653526337	2.774525834713386	0.5273518903685304
TDRS 7	2024-07-01T03:12:19.114+05:30	86.41920353152136	33.450462444414114	-5734090.800199585	-1.7471292311064055	2.4783769015610906	0.5475912735934413
OPS 8701 (DSP 10)	2024-07-01T03:28:19.114+05:30	85.05046894556477	-29.883948193590186	-5904310.789924562	1.4717814908759967	2.616779157245406	0.5491304293227237
GALAXY 25 (G-25)	2024-07-01T03:22:19.114+05:30	-87.53331922050299	12.179832166297071	-5415048.219036379	-0.6369225773705579	2.99083631461592	0.13143006516703798
UFO 2 (USA 95)	2024-07-01T03:34:19.114+05:30	84.13490740221961	68.26473765868724	-5993513.566103136	-2.8632086446926555	1.0828067361466747	0.2960150259186616
CALSPHERE 2	2024-07-01T03:40:19.114+05:30	90.0	58.78964719666087	-6351666.302528689	-2.5693330788670266	-4.309019335276093	5.327334127457072
CALSPHERE 1	2024-07-01T04:05:19.114+05:30	-89.45935426575134	58.26076564803865	-6348419.732918563	4.174884053568824	6.0468539306084965	0.4910441302064799
CALSPHERE 2	2024-07-01T03:16:19.114+05:30	-90.0	59.13568274385804	-6352181.021219465	2.3227217706971053	3.822933415439345	5.769230063602022
OPS 5712 (P/L 153)	2024-07-01T04:13:19.114+05:30	-90.0	44.531333800707685	-6352629.42104144	-4.857780298636204	-0.4768054884311385	-5.54665092504133
ITAMSAT (IO-26)	2024-07-01T04:42:19.114+05:30	-90.0	54.64327426686663	-6355052.061804613	-0.0452527296149552	-2.0966412582096994	-7.147838094073506
UOSAT 2 (UO-11)	2024-07-01T04:24:19.114+05:30	-90.0	-31.20734236521139	-6354846.4923471995	-2.2751849822338404	0.15630908526064471	-7.192045686701965
OPS 8701 (DSP 10)	2024-07-01T05:04:19.114+05:30	82.44484266499722	-6.57019197264594	-6076187.587940703	0.2930606049723714	3.0057243173282155	0.4406492647100425
TEMPSAT 1	2024-07-01T05:09:19.114+05:30	90.0	33.58463672796654	-6355505.116746074	1.0525523955817098	0.7089076979057616	-7.1904324633248695
RIGIDSPHERE 2 (LCS 4)	2024-07-01T04:39:19.114+05:30	-90.0	-1.601271995787805	-6353070.097797149	-3.7585917539004536	0.46538877252141	-6.3982650673372685
STELLA	2024-07-01T04:37:19.114+05:30	90.0	59.054526380076425	-6351821.1896397285	3.945033781062178	3.4812195049328007	-5.285615117371182
OPS 8701 (DSP 10)	2024-07-01T05:33:19.114+05:30	81.66537732883957	0.5328425265171607	-6106777.331402297	-0.08210498538295703	3.025534430374109	0.39225563486669
CALSPHERE 1	2024-07-01T06:06:19.114+05:30	-90.0	55.502985134796916	-6353034.725941563	2.13843239353851	3.062088055063115	6.354306597189148
LCS 1	2024-07-01T05:36:19.114+05:30	-90.0	61.77653748191438	-6355253.976038992	-4.730498577431349	3.161023493889099	3.342346951325107
LUSAT (LO-19)	2024-07-01T05:28:19.114+05:30	-90.0	-8.871351485841402	-6355219.69270211	-1.7300545381339028	-0.9196020943475686	-7.204982456752052
OPS 5712 (P/L 153)	2024-07-01T07:06:19.114+05:30	89.4593698927543	-31.06027219705415	-6102513.600707355	6.074569892558025	4.02452495008515	-1.3000327617996594
UOSAT 2 (UO-11)	2024-07-01T07:10:19.114+05:30	88.98868947562576	44.61150511040578	-6344616.0724355215	6.5918622057717755	-3.6853143674322975	-0.2905764951618064
CALSPHERE 2	2024-07-01T07:00:19.114+05:30	-90.0	58.98486366463421	-6356645.401881602	0.06929681103592318	0.06523149319350514	7.307538310142047
TEMPSAT 1	2024-07-01T07:04:19.114+05:30	-90.0	33.610664492543684	-6354980.7049883315	-1.38805163078996	-0.9124738736095845	-7.086434398777309
POLAR	2024-07-01T06:57:19.114+05:30	80.80171561901858	25.820076455110406	-6317873.441111812	0.7164508882264977	1.912193040937139	-2.735836273237257
LCS 1	2024-07-01T07:50:19.114+05:30	-90.0	35.45604044092691	-6353236.089856303	-2.6894096088181287	5.508195049561021	2.433308235722795
COSMOS 2024 (ETALON 2)	2024-07-01T08:55:19.114+05:30	81.47518052184257	26.436598504095784	-6311823.793142589	-3.1793826583191986	2.0491970519808813	1.1318274242442754
