name	curr_time	lon	lat	alt	vel_x	vel_y	vel_z
SKYNET 4C	2024-07-01T00:11:28.854+05:30	90.0	19.068181555140242	-6352556.958518844	-1.043741155464848	2.81718292695428	0.653756375787802
USA 65 (DSP 15)	2024-07-01T00:31:28.854+05:30	81.88554025356318	24.302757329037913	-6100060.666708449	-1.3174496770632338	2.6881520399839864	0.6156086568661396
PHASE 3B (AO-10)	2024-07-01T00:32:28.854+05:30	90.0	17.191271152457425	-6348815.386613978	0.9696084857810596	3.530263719887419	1.9135302150685367
ITAMSAT (IO-26)	2024-07-01T01:27:28.854+05:30	-90.0	50.02300486585458	-6352461.31433576	-1.7132806852439395	-4.261794389344464	-5.858823800891525
UFO 2 (USA 95)	2024-07-01T00:58:28.854+05:30	90.0	29.260706609279207	-6353498.930632516	-1.5156915253915406	2.6128956579644615	0.5742904648618501
SKYNET 4C	2024-07-01T00:50:28.854+05:30	87.70922170807604	28.706919219775948	-5354489.261306733	-1.5198166790420315	2.606437613128719	0.5922653099971916
OSCAR 7 (AO-7)	2024-07-01T01:13:28.854+05:30	90.0	4.83287576646702	-6352639.251536545	3.7868228968234234	-1.42363709968686	-5.8817671696563325
SKYNET 4C	2024-07-01T00:45:28.854+05:30	88.12026741488235	27.46658586351996	-5125348.443233175	-1.4609667204645955	2.6378428594031424	0.6011540722058515
ITAMSAT (IO-26)	2024-07-01T01:21:28.854+05:30	-90.0	54.18112904482728	-6354818.375001891	-0.19381746882163467	-2.2963491080390654	-7.083309431959575
INMARSAT 3-F3	2024-07-01T01:22:28.854+05:30	-85.5805153736978	-16.952940861036808	-5856709.530500979	0.9131800282806309	2.9275249990859273	0.134607377529888
CALSPHERE 1	2024-07-01T00:51:28.854+05:30	-90.0	55.50568026495501	-6352863.4135141475	2.2358112324110992	3.2032865615725097	6.25045096350823
USA 65 (DSP 15)	2024-07-01T01:52:28.854+05:30	79.01341489727389	44.26140273775671	-6179759.595985383	-2.177956472885475	2.102766334245458	0.42483166518117493
NAVSTAR 43 (USA 132)	2024-07-01T01:48:28.854+05:30	-82.54202067321968	-6.425347157878089	-6258459.636856121	-1.217635562186807	3.333690664407256	-1.4773554709737913
PHASE 3B (AO-10)	2024-07-01T01:58:28.854+05:30	88.8462779753538	45.699487788651666	-4850113.401390051	-0.8501761921828125	2.43466584896744	1.0069222995923142
PHASE 3B (AO-10)	2024-07-01T02:16:28.854+05:30	84.25052610300833	50.11125811861216	-6076280.784943404	-1.0549936306052903	2.2080491775018736	0.8547078291981267
GALAXY 25 (G-25)	2024-07-01T02:30:28.854+05:30	-86.79782978904021	-0.6904475530868868	-5641335.65651073	0.040715798010445975	3.0590332854592317	0.06904642930440431
OPS 3811 (DSP 2)	2024-07-01T01:42:28.854+05:30	82.6584793653274	38.59366016979939	-6064327.122328849	-1.8978598930884842	2.387092512242929	-0.04075935344672822
UFO 2 (USA 95)	2024-07-01T02:43:28.854+05:30	86.16020374944465	55.41971647663866	-5777450.298758072	-2.5450916018012975	1.6767950755211725	0.40936612031206887
ITAMSAT (IO-26)	2024-07-01T02:55:28.854+05:30	90.0	57.9903636321377	-6355754.996358041	1.5275104988641408	0.26536653452454384	-7.289886119553098
USA 65 (DSP 15)	2024-07-01T03:24:28.854+05:30	77.39973566982984	67.42505560678111	-6208947.6877464475	-2.83471862522022	1.1367110566493979	0.14772531877482772
