Satellite Name	Time	Longitude	Latitude	Altitude	V(x) [km/s]	V(y) [km/s]	V(z) [km/s]
PROGRESS-MS 22	2024-06-27 19:25:04.833691	90.000000	51.960730	-6356562.142475	-3.653992	3.084544	-6.035298
ISS (ZARYA)	2024-06-27 19:28:04.833691	90.000000	-1.372369	-6351945.752837	2.695705	6.784084	-2.462932
ISS (NAUKA)	2024-06-27 19:31:04.833691	-90.000000	66.999002	-6354815.075909	-5.248087	0.397954	-5.616124
CSS (WENTIAN)	2024-06-27 19:33:04.833691	90.000000	-3.287229	-6355538.736918	-0.575846	5.927824	4.921797
CSS (MENGTIAN)	2024-06-27 19:36:04.833691	90.000000	6.235532	-6354685.534231	-2.130105	5.890004	4.524843
TIANZHOU-5	2024-06-27 19:38:04.833691	90.000000	13.020584	-6354164.251442	-3.119230	5.723144	4.150090
SHENZHOU-15	2024-06-27 19:39:04.833691	90.000000	16.585220	-6353921.707875	-3.592445	5.598227	3.932244
SL-4 R/B	2024-06-27 19:42:04.833691	90.000000	-17.281210	-6356318.850696	1.062238	4.734375	6.086378
ISS (ZARYA)	2024-06-27 19:43:04.833691	90.000000	48.587096	-6356131.266125	-3.225259	3.596656	-5.997567
ISS DEB	2024-06-27 19:44:04.833691	90.000000	-29.879195	-6355889.621042	3.116050	3.818674	-6.010189
CSS (WENTIAN)	2024-06-27 19:48:04.833691	90.000000	55.654712	-6352468.883683	-6.832506	3.377012	1.273200
SL-4 R/B	2024-06-27 19:57:04.833691	90.000000	33.664319	-6352041.430556	-5.953307	4.319644	2.508437
ISS DEB	2024-06-27 19:59:04.833691	-90.000000	13.587159	-6352723.418768	-4.288026	5.217504	-3.828954
CSS (TIANHE)	2024-06-27 20:00:04.833691	-90.000000	-26.178296	-6355652.595369	3.324752	4.900556	4.957428
CSS (TIANHE)	2024-06-27 20:15:04.833691	90.000000	21.725180	-6353610.328521	-4.216146	5.381084	3.601710
FREGAT DEB	2024-06-27 20:17:04.833691	-90.000000	-25.740228	-6355066.117085	2.325741	3.469686	5.044728
SOYUZ-MS 23	2024-06-27 20:26:04.833691	-90.000000	32.986005	-6351498.238125	-4.498822	6.231945	-0.303353
FREGAT DEB	2024-06-27 20:32:04.833691	90.000000	0.730743	-6353872.651003	-2.507756	4.570063	4.622420
CREW DRAGON 5	2024-06-27 20:35:04.833691	90.000000	-31.234303	-6351497.219307	4.390464	6.319696	-0.375820
CYGNUS NG-18	2024-06-27 20:37:04.833691	90.000000	-18.899269	-6351591.848878	3.788002	6.600394	-1.198926
PROGRESS-MS 22	2024-06-27 20:40:04.833691	90.000000	-2.259357	-6351915.654635	2.754337	6.787134	-2.386340
ISS (NAUKA)	2024-06-27 20:46:04.833691	90.000000	22.860940	-6353156.875302	0.385331	6.302790	-4.411602
FREGAT DEB	2024-06-27 20:47:04.833691	90.000000	48.765239	-6351043.295596	-6.740681	3.006290	1.187133
SOYUZ-MS 22	2024-06-27 20:49:04.833691	90.000000	32.334869	-6354021.652996	-0.849814	5.652002	-5.163403
CREW DRAGON 5	2024-06-27 20:50:04.833691	90.000000	35.199029	-6354337.661310	-1.256123	5.380187	-5.366600
CYGNUS NG-18	2024-06-27 20:52:04.833691	90.000000	40.612034	-6355002.427973	-2.049060	4.761754	-5.695921
PROGRESS-MS 22	2024-06-27 20:55:04.833691	90.000000	48.208718	-6356057.537288	-3.161377	3.669942	-5.986441
ISS (ZARYA)	2024-06-27 20:58:04.833691	90.000000	-8.887746	-6351764.593117	3.227970	6.723725	-1.931591
ISS (NAUKA)	2024-06-27 21:01:04.833691	-90.000000	63.031332	-6355294.397392	-4.941733	1.074648	-5.803334
CSS (WENTIAN)	2024-06-27 21:03:04.833691	90.000000	-5.479325	-6355713.156974	-0.225980	5.906862	4.974994
CSS (MENGTIAN)	2024-06-27 21:06:04.833691	90.000000	3.924544	-6354846.677340	-1.790320	5.930036	4.618646
TIANZHOU-5	2024-06-27 21:08:04.833691	90.000000	10.590307	-6354312.624119	-2.794387	5.803037	4.268803
SHENZHOU-15	2024-06-27 21:09:04.833691	90.000000	14.083229	-6354062.606810	-3.277441	5.697519	4.062579
SL-4 R/B	2024-06-27 21:12:04.833691	90.000000	-13.905160	-6355789.781259	0.320205	4.945541	6.000756
ISS (ZARYA)	2024-06-27 21:13:04.833691	90.000000	44.852598	-6355640.637105	-2.709380	4.138224	-5.903542
ISS DEB	2024-06-27 21:14:04.833691	90.000000	-27.664031	-6356252.243484	2.659476	4.065280	-6.067071
CSS (WENTIAN)	2024-06-27 21:18:04.833691	90.000000	52.312372	-6352517.307574	-6.666180	3.619063	1.474166
CSS (MENGTIAN)	2024-06-27 21:21:04.833691	90.000000	67.768595	-6352345.394403	-7.275973	2.565894	0.429289
SL-4 R/B	2024-06-27 21:27:04.833691	90.000000	41.186691	-6351847.496301	-6.363159	4.024729	1.921934
ISS DEB	2024-06-27 21:29:04.833691	-90.000000	17.394422	-6352503.810155	-4.669699	5.129197	-3.485172
CSS (TIANHE)	2024-06-27 21:30:04.833691	-90.000000	-28.411015	-6355475.373467	3.638268	4.731965	4.900270
CSS (TIANHE)	2024-06-27 21:45:04.833691	90.000000	19.068170	-6353742.491733	-3.911899	5.508173	3.749816
SOYUZ-MS 23	2024-06-27 21:56:04.833691	-90.000000	28.087561	-6351518.047807	-4.255857	6.379027	-0.604979
CYGNUS NG-18	2024-06-27 22:07:04.833691	90.000000	-27.776065	-6351515.315785	4.253358	6.393208	-0.625062
PROGRESS-MS 22	2024-06-27 22:10:04.833691	90.000000	-9.997009	-6351738.188772	3.291159	6.717276	-1.842637
ISS (NAUKA)	2024-06-27 22:16:04.833691	90.000000	17.540685	-6352804.081709	0.995037	6.510613	-3.995086
FREGAT DEB	2024-06-27 22:17:04.833691	-90.000000	-26.090403	-6355044.292365	2.360684	3.449188	5.039011
SOYUZ-MS 22	2024-06-27 22:19:04.833691	90.000000	27.782929	-6353601.907982	-0.241884	5.988441	-4.838633
CREW DRAGON 5	2024-06-27 22:20:04.833691	90.000000	30.837532	-6353899.439910	-0.654558	5.756584	-5.075704
CYGNUS NG-18	2024-06-27 22:22:04.833691	90.000000	36.546372	-6354533.555912	-1.468737	5.212537	-5.476757
PROGRESS-MS 22	2024-06-27 22:25:04.833691	90.000000	44.402796	-6355559.458565	-2.633355	4.215861	-5.882222
ISS (ZARYA)	2024-06-27 22:28:04.833691	90.000000	-16.986192	-6351627.979765	3.730451	6.597943	-1.383139
ISS (NAUKA)	2024-06-27 22:31:04.833691	-90.000000	59.181964	-6355787.086396	-4.582419	1.737866	-5.936976
FREGAT DEB	2024-06-27 22:32:04.833691	90.000000	0.337176	-6353893.618254	-2.461936	4.579035	4.631187
CSS (WENTIAN)	2024-06-27 22:33:04.833691	90.000000	-7.655441	-6355889.215954	0.123699	5.871603	5.019891
SOYUZ-MS 22	2024-06-27 22:34:04.833691	-90.000000	66.899046	-6354746.524240	-5.284193	0.362309	-5.584440
CREW DRAGON 5	2024-06-27 22:35:04.833691	-90.000000	69.623098	-6354416.477897	-5.469541	-0.102247	-5.413355
CSS (MENGTIAN)	2024-06-27 22:36:04.833691	90.000000	1.643401	-6355010.906768	-1.447348	5.955823	4.704725
TIANZHOU-5	2024-06-27 22:38:04.833691	90.000000	8.199431	-6354464.977196	-2.464179	5.869065	4.380363
SHENZHOU-15	2024-06-27 22:39:04.833691	90.000000	11.625363	-6354207.905303	-2.956020	5.783236	4.186099
SL-4 R/B	2024-06-27 22:42:04.833691	90.000000	-10.440285	-6355271.015389	-0.422612	5.112770	5.850892
ISS (ZARYA)	2024-06-27 22:43:04.833691	90.000000	41.033112	-6355160.034580	-2.163654	4.637075	-5.756822
ISS DEB	2024-06-27 22:44:04.833691	90.000000	-25.468454	-6356617.653248	2.192087	4.297094	-6.093593
