Satellite Name	Time	Longitude	Latitude	Altitude	V(x) [km/s]	V(y) [km/s]	V(z) [km/s]
CREW DRAGON 5	2024-06-28 18:22:47.568168	-90.000000	64.252922	-6354556.921437	-5.371591	0.491003	-5.490045
CSS (MENGTIAN)	2024-06-28 18:23:47.568168	90.000000	34.954816	-6352797.633409	-5.498820	4.922299	2.290369
TIANZHOU-5	2024-06-28 18:25:47.568168	90.000000	44.461961	-6352561.758968	-6.150804	4.382421	1.634965
SHENZHOU-15	2024-06-28 18:26:47.568168	90.000000	49.446427	-6352473.843302	-6.433198	4.080259	1.294681
ISS (ZARYA)	2024-06-28 18:30:47.568168	90.000000	36.571103	-6355123.790753	-1.775700	4.815250	-5.743528
FREGAT DEB	2024-06-28 18:34:47.568168	90.000000	2.168090	-6353364.893485	-2.912268	4.660540	4.349001
CSS (TIANHE)	2024-06-28 18:47:47.568168	90.000000	-5.630765	-6355207.334667	-0.556406	6.032227	4.795658
FREGAT DEB	2024-06-28 18:49:47.568168	90.000000	55.180103	-6350934.884769	-6.893050	2.919782	0.608567
SOYUZ-MS 23	2024-06-28 18:58:47.568168	-90.000000	-15.901363	-6352453.683157	-1.076901	6.779557	-3.484977
CSS (TIANHE)	2024-06-28 19:02:47.568168	90.000000	55.596402	-6352395.356456	-6.731373	3.690682	0.879190
SOYUZ-MS 23	2024-06-28 19:13:47.568168	-90.000000	68.286725	-6351947.247286	-5.428740	4.866798	2.459886
PROGRESS-MS 22	2024-06-28 19:27:47.568168	90.000000	-25.068174	-6351576.703396	4.399289	6.226902	-1.108188
SL-4 R/B	2024-06-28 19:29:47.568168	90.000000	10.410653	-6352813.443601	-3.978782	5.386118	3.950799
ISS DEB	2024-06-28 19:31:47.568168	-90.000000	-25.423348	-6356222.542007	1.641361	4.574763	-6.063844
ISS (NAUKA)	2024-06-28 19:33:47.568168	90.000000	5.791509	-6352399.250016	2.251032	6.537621	-3.396755
CSS (WENTIAN)	2024-06-28 19:35:47.568168	-90.000000	-29.518584	-6355945.302224	3.399671	4.772508	5.032504
SOYUZ-MS 22	2024-06-28 19:36:47.568168	90.000000	17.262380	-6353098.742590	1.009347	6.278078	-4.348203
CREW DRAGON 5	2024-06-28 19:37:47.568168	90.000000	20.633254	-6353368.064772	0.583221	6.131583	-4.626135
CSS (MENGTIAN)	2024-06-28 19:38:47.568168	90.000000	-20.556588	-6356642.659603	1.948208	5.449997	5.116839
CYGNUS NG-18	2024-06-28 19:39:47.568168	90.000000	26.849299	-6353953.433153	-0.275334	5.752545	-5.115113
TIANZHOU-5	2024-06-28 19:40:47.568168	90.000000	-14.578947	-6356031.726564	0.929505	5.772685	5.050004
SHENZHOU-15	2024-06-28 19:41:47.568168	90.000000	-11.551338	-6355730.736326	0.412146	5.892790	4.979957
PROGRESS-MS 22	2024-06-28 19:42:47.568168	90.000000	35.196344	-6354927.033419	-1.548456	4.983272	-5.664768
ISS (ZARYA)	2024-06-28 19:45:47.568168	90.000000	-30.399985	-6351532.405519	4.684598	6.067536	-0.780244
ISS DEB	2024-06-28 19:46:47.568168	-90.000000	25.861676	-6352001.848775	-5.282023	5.142609	-2.428457
ISS (NAUKA)	2024-06-28 19:48:47.568168	-90.000000	50.176891	-6356442.417491	-3.846094	2.853597	-6.028884
CSS (WENTIAN)	2024-06-28 19:50:47.568168	90.000000	19.237796	-6353406.628956	-4.037350	5.675534	3.346704
SOYUZ-MS 22	2024-06-28 19:51:47.568168	-90.000000	57.633416	-6355371.538219	-4.772912	1.584155	-5.828162
CREW DRAGON 5	2024-06-28 19:52:47.568168	-90.000000	60.211654	-6355025.406572	-5.038525	1.143591	-5.705622
CSS (MENGTIAN)	2024-06-28 19:53:47.568168	90.000000	31.917960	-6352880.950949	-5.253488	5.098442	2.473646
CYGNUS NG-18	2024-06-28 19:54:47.568168	-90.000000	65.604233	-6354359.227034	-5.497143	0.248812	-5.380483
TIANZHOU-5	2024-06-28 19:55:47.568168	90.000000	41.231443	-6352622.356166	-5.941152	4.589780	1.829789
SHENZHOU-15	2024-06-28 19:56:47.568168	90.000000	46.131261	-6352522.616075	-6.242934	4.301768	1.493885
ISS (ZARYA)	2024-06-28 20:00:47.568168	90.000000	32.624052	-6354660.015749	-1.174428	5.219120	-5.542191
CSS (TIANHE)	2024-06-28 20:17:47.568168	90.000000	-7.882183	-6355379.723784	-0.206417	5.998258	4.865402
FREGAT DEB	2024-06-28 20:19:47.568168	-90.000000	-25.416399	-6355630.781179	1.974903	3.604924	5.127806
SOYUZ-MS 23	2024-06-28 20:28:47.568168	-90.000000	-19.178966	-6352611.018226	-0.752303	6.694410	-3.728530
CSS (TIANHE)	2024-06-28 20:32:47.568168	90.000000	52.137666	-6352430.436867	-6.562644	3.931557	1.086451
FREGAT DEB	2024-06-28 20:34:47.568168	90.000000	1.760709	-6353384.657332	-2.866275	4.671766	4.359910
SOYUZ-MS 23	2024-06-28 20:43:47.568168	-90.000000	64.221040	-6351846.046598	-5.293036	5.140869	2.180284
SL-4 R/B	2024-06-28 20:44:47.568168	-90.000000	-29.381557	-6356269.915867	2.773070	3.993757	6.082171
FREGAT DEB	2024-06-28 20:49:47.568168	90.000000	54.491626	-6350936.947107	-6.866897	2.965209	0.635703
SL-4 R/B	2024-06-28 20:59:47.568168	90.000000	16.072631	-6352489.502988	-4.557610	5.268699	3.449691
ISS DEB	2024-06-28 21:01:47.568168	-90.000000	-23.174877	-6355855.724051	1.164192	4.794280	-6.003632
ISS (NAUKA)	2024-06-28 21:03:47.568168	90.000000	-0.693786	-6352135.687424	2.835284	6.548400	-2.903062
SOYUZ-MS 22	2024-06-28 21:06:47.568168	90.000000	11.888402	-6352752.538252	1.630934	6.423604	-3.926876
CREW DRAGON 5	2024-06-28 21:07:47.568168	90.000000	15.557484	-6352997.420859	1.211450	6.320943	-4.233091
CSS (MENGTIAN)	2024-06-28 21:08:47.568168	-90.000000	-22.682764	-6356683.070832	2.275280	5.320532	5.117792
CYGNUS NG-18	2024-06-28 21:09:47.568168	90.000000	22.264241	-6353539.278729	0.357247	6.026696	-4.784096
TIANZHOU-5	2024-06-28 21:10:47.568168	90.000000	-16.721085	-6356208.788265	1.267997	5.681327	5.079613
SHENZHOU-15	2024-06-28 21:11:47.568168	90.000000	-13.712552	-6355905.596254	0.753909	5.821198	5.023718
PROGRESS-MS 22	2024-06-28 21:12:47.568168	90.000000	31.114715	-6354462.517800	-0.931758	5.374422	-5.438187
ISS DEB	2024-06-28 21:16:47.568168	-90.000000	30.966455	-6351866.528200	-5.586363	4.993495	-2.023633
ISS (NAUKA)	2024-06-28 21:18:47.568168	90.000000	46.451114	-6356557.486245	-3.338097	3.424417	-6.035222
CSS (WENTIAN)	2024-06-28 21:20:47.568168	90.000000	16.555813	-6353526.315984	-3.739609	5.785634	3.500579
SOYUZ-MS 22	2024-06-28 21:21:47.568168	-90.000000	53.809176	-6355864.420226	-4.353033	2.209935	-5.952919
CREW DRAGON 5	2024-06-28 21:22:47.568168	-90.000000	56.312874	-6355509.645222	-4.652164	1.781845	-5.868875
CSS (MENGTIAN)	2024-06-28 21:23:47.568168	90.000000	28.941576	-6352970.560005	-4.997593	5.263005	2.652792
CYGNUS NG-18	2024-06-28 21:24:47.568168	-90.000000	61.487400	-6354819.372493	-5.183078	0.902892	-5.618155
TIANZHOU-5	2024-06-28 21:25:47.568168	90.000000	38.056284	-6352689.678444	-5.719399	4.786833	2.021529
SHENZHOU-15	2024-06-28 21:26:47.568168	90.000000	42.865514	-6352578.282628	-6.039885	4.513682	1.690552
ISS (ZARYA)	2024-06-28 21:30:47.568168	90.000000	28.503643	-6354214.902375	-0.558659	5.570066	-5.291716
ISS (ZARYA)	2024-06-28 21:45:47.568168	-90.000000	67.219007	-6354092.740385	-5.660938	-0.052919	-5.213763
CSS (TIANHE)	2024-06-28 21:47:47.568168	90.000000	-10.111998	-6355554.365958	0.143189	5.949601	4.926820
SOYUZ-MS 23	2024-06-28 21:58:47.568168	-90.000000	-22.318284	-6352778.776906	-0.426795	6.588903	-3.962825
CSS (TIANHE)	2024-06-28 22:02:47.568168	90.000000	48.719784	-6352472.857133	-6.379909	4.163443	1.291766
SOYUZ-MS 23	2024-06-28 22:13:47.568168	-90.000000	59.986379	-6351757.160247	-5.141230	5.400529	1.895295
SL-4 R/B	2024-06-28 22:14:47.568168	90.000000	-26.040834	-6356701.116525	2.085167	4.353692	6.108728
