name	curr_time	lon	lat	alt	vel_x	vel_y	vel_z
STAR ONE C2	2024-06-30T17:37:27.006+05:30	90.0	66.14436011118298	-6356678.026587741	-2.8116678154755745	1.2424383718655208	5.86801097302165E-4
SJ-11-02	2024-06-30T18:22:27.006+05:30	-90.0	57.82276480091922	-6355847.065383261	1.441903135528496	0.2129731601002856	7.376108537138881
HUANJING 1B (HJ-1B)	2024-06-30T17:56:27.006+05:30	90.0	20.136695205091407	-6352350.3763405485	4.832564043105681	0.4029415052083029	-5.757773651097818
AMAZONAS 2	2024-06-30T17:49:27.006+05:30	-90.0	69.42261886771597	-6356384.648787298	-2.878595773784377	1.0790793867613835	0.012957867299772743
COSMOS 2428	2024-06-30T17:45:27.006+05:30	90.0	66.4189640827991	-6354033.24931923	-3.4516379185630237	-1.3582850693527113	6.441225473632784
FENGYUN 3B	2024-06-30T17:53:27.006+05:30	90.0	31.72488226263112	-6356522.9580946835	0.8313799693101642	-0.8630595932757464	-7.3227906152617335
NAVSTAR 65 (USA 213)	2024-06-30T18:28:27.006+05:30	-90.0	66.27597308829165	-6351145.930487658	-2.34264858796665	0.3571026997198774	-3.0300636843761892
SHIYAN 3 (SY-3)	2024-06-30T18:23:27.006+05:30	90.0	28.42441731114248	-6353117.961086175	3.913819650868163	0.6315517532298579	-6.322203886949364
HUANJING 1B (HJ-1B)	2024-06-30T18:23:27.006+05:30	-90.0	1.0087877286052278	-6350720.917557902	-6.1959489450217395	-2.0523581465868586	-3.7154523334362732
YAOGAN 9C	2024-06-30T18:30:27.006+05:30	90.0	60.33635604400535	-6354537.494645961	-4.159846424315231	-0.024183402435379836	6.414316866656161
COSMOS 2434 [GLONASS-M]	2024-06-30T17:39:27.006+05:30	-90.0	36.90425154938112	-6356002.164194715	-1.1125634835171465	1.3088782570078268	-3.5603306029547777
SJ-11-01	2024-06-30T17:40:27.006+05:30	-90.0	-4.158602000256298	-6356072.354853187	-0.7755425321703232	-0.9872642197639623	-7.409824082134478
YUBILEINY (RS-30)	2024-06-30T17:38:27.006+05:30	-88.41634231726222	47.42113095296971	-6333342.899245757	0.9147902341726644	6.89873343917508	1.3641147908187752
OPTUS D2	2024-06-30T18:04:27.006+05:30	90.0	-22.74291899725803	-6356333.218559303	1.187903557256011	2.8343321797910463	0.021933078069968397
SJ-12	2024-06-30T18:13:27.006+05:30	88.9887400297399	19.82484341108862	-6269317.436884411	7.199823507013853	-0.6798086025176321	-2.2885476289466897
NIGERIASAT-2	2024-06-30T18:12:27.006+05:30	-90.0	-18.11945510021636	-6350804.38906271	-6.402352296647659	0.10636196054754904	-3.9227134851814385
YAOGAN 9C	2024-06-30T18:07:27.006+05:30	-90.0	10.37122384802302	-6350898.041710966	2.730205664290611	5.999259423771104	3.312989201497439
AISSAT 1	2024-06-30T17:35:27.006+05:30	90.0	26.320507476653056	-6350380.645826032	-4.613921402112233	-5.244322074342551	2.8750141536884506
TIANLIAN 1-02	2024-06-30T18:34:27.006+05:30	-90.0	26.149561965167155	-6355067.842996277	-1.3751976476775245	2.763029941943124	0.13690526594259364
YUBILEINY (RS-30)	2024-06-30T19:32:27.006+05:30	-88.72885544172061	26.311728804842904	-6342812.069393655	1.0293969662783973	6.985271134722028	0.6534093635947721
DEIMOS-1	2024-06-30T19:27:27.006+05:30	90.0	-2.056859717711094	-6352390.063541297	-4.658222840980126	-1.1179452835484478	5.8130201331444775
SJ-11-02	2024-06-30T18:34:27.006+05:30	90.0	50.5603522849772	-6352599.490378427	-1.7172990593431012	-4.226387806061712	5.97714616861021
YOUTHSAT	2024-06-30T19:19:27.006+05:30	90.0	14.051236563102904	-6350801.212835106	6.235286234088697	-0.41063637748593396	-4.034385875586782
CARTOSAT-2B	2024-06-30T19:10:27.006+05:30	-88.80274487766673	9.94050558603956	-6341017.088564618	-3.4599547926541274	-6.6361568854358675	-0.7975215407595596
COSMO-SKYMED 4	2024-06-30T18:50:27.006+05:30	90.0	-5.9950795945171675	-6350952.041618767	-6.233200368640991	-1.209891428624985	4.081687432818124
SJ-12	2024-06-30T18:45:27.006+05:30	-90.0	-11.404389944335925	-6351641.992728468	-5.643089078853496	-0.39699052107316224	-5.021459897249873
APRIZESAT 6	2024-06-30T19:25:27.006+05:30	90.0	53.70868590671265	-6350777.855633424	-1.9732163954620439	-6.151600434994589	3.81358229925373
SHIJIAN-6 04A (SJ-6 04A)	2024-06-30T19:09:27.006+05:30	88.77120467708438	21.065103854697597	-6303166.745144775	7.256902339826408	-0.9035383053899072	-2.0309594792547983
YAOGAN 9B	2024-06-30T18:35:27.006+05:30	90.0	62.915668171515215	-6353909.917480148	-4.5096621188973645	-0.6232804233952401	6.135828636106234
SHIJIAN-6 04A (SJ-6 04A)	2024-06-30T19:22:27.006+05:30	90.0	-1.2222365223755436	-6353812.241039268	3.172055403486716	-1.206742230707663	-6.800188586868877
SJ-11-01	2024-06-30T18:59:27.006+05:30	90.0	13.983084303510319	-6350366.536047921	6.8427955855200695	-0.8186861847325517	-3.013048131577645
TIANLIAN 1-02	2024-06-30T19:23:27.006+05:30	-90.0	38.56432425655594	-6355506.397999026	-1.9369476118173532	2.4071089128097407	0.16029846955329502
ZHEDA PIXING 1B	2024-06-30T20:21:27.006+05:30	88.65166164474905	5.460708344944497	-6331075.446999898	6.351473839235238	-3.8635711812299562	-1.4199706391060753
YAOGAN 9A	2024-06-30T20:24:27.006+05:30	-90.0	24.412852150933713	-6351926.62861005	1.5523274657653494	5.582691811144153	4.691331675833117
COSMOS 2433 [GLONASS-M]	2024-06-30T20:24:27.006+05:30	90.0	-12.725516523397934	-6349740.22396498	-0.5910183130441486	1.8514231883829109	3.4411810782049046
FENGYUN 3B	2024-06-30T19:59:27.006+05:30	-88.6646076447657	-20.776751113572605	-6337988.709584316	-6.190379433701144	-3.961461437347557	-0.877988090742707
NIGERIASAT-X	2024-06-30T20:12:27.006+05:30	88.63509303245733	51.710528179183235	-6332420.298960544	7.1761107905692185	1.7794380921188109	-1.3538885450722347
SHIJIAN-6 04A (SJ-6 04A)	2024-06-30T19:41:27.006+05:30	-90.0	-12.954890945861944	-6351791.511623769	-5.497288697471213	-0.24508751099088802	-5.211582995841269
SBSS (USA 216)	2024-06-30T19:55:27.006+05:30	90.0	34.723360279464515	-6352559.111754747	-2.9333708004346426	-3.608355273118952	5.946507538020319
FGRST (GLAST)	2024-06-30T19:45:27.006+05:30	-90.0	27.88698140237802	-6353776.650824815	-3.5489034195851543	6.72601121034792	8.507421019129179E-4
BEIDOU-2 G4	2024-06-30T20:13:27.006+05:30	-90.0	9.902042087618588	-6355785.257150928	-0.5261062189669113	3.0266521881515938	0.0679730369363312
COSMOS 2468	2024-06-30T20:26:27.006+05:30	-90.0	-27.01102566625256	-6354676.019270134	-1.2031078260472698	1.6975349678221818	-6.798873827545926
SJ-12	2024-06-30T20:28:27.006+05:30	-88.7377020250669	-29.242402834386386	-6307303.920689235	-7.303640229736123	0.09512403799530018	-1.9581447630638018
BEIDOU-2 G4	2024-06-30T19:55:27.006+05:30	-90.0	5.395535890736413	-6355714.918365227	-0.28659122433656187	3.0588181581208462	0.06222583917803111
INTELSAT NEW DAWN	2024-06-30T20:50:27.006+05:30	90.0	-28.254460945229923	-6356255.5688801315	1.4555900546384484	2.708733332482456	0.015594456841970503
COSMOS 2438	2024-06-30T20:41:27.006+05:30	-88.82471182357261	13.880695660257706	-6344050.98404192	1.350842992918984	6.946785254194541	0.4399599524482357
SRMSAT	2024-06-30T21:20:27.006+05:30	-90.0	12.388259388113639	-6354524.352171883	-1.2240720299123848	7.248139915032369	1.0894320115539524
EXPRESS-AM33	2024-06-30T21:30:27.006+05:30	-90.0	-11.141636784396077	-6354594.832885236	0.594498825127924	3.016642202395025	-0.012463685329144818
DMSP 5D-3 F18 (USA 210)	2024-06-30T21:31:27.006+05:30	-90.0	-28.403864109671673	-6352894.277216076	-4.0567839827157535	0.671939632401137	-6.180853202574507
GLOBALSTAR M076	2024-06-30T20:40:27.006+05:30	-90.0	60.898341811324165	-6350794.396961535	-5.170812170273136	4.737630882241738	1.3726497547836758
ASTRA 1L	2024-06-30T21:27:27.006+05:30	90.0	-25.795521148063848	-6356443.3724227315	1.338432275877819	2.768614638272338	0.024229397583585145
TERRASAR-X	2024-06-30T20:36:27.006+05:30	-90.0	9.884419636056684	-6356562.559481917	-0.02621221050484481	-1.005295833806862	-7.542818989419114
PAKSAT-1R	2024-06-30T21:11:27.006+05:30	-90.0	-26.484013899744912	-6356286.748508252	1.3703283349985331	2.7520848574722385	-0.023724847903319763
FENGYUN 3B	2024-06-30T21:08:27.006+05:30	90.0	37.35115597241495	-6352905.3280519815	3.948979138649813	1.2707505338973817	-6.164387107885967
CHUANGXIN 1-02 (CX-1-02)	2024-06-30T20:46:27.006+05:30	-90.0	14.508010320422361	-6351708.597332293	-4.539576949387146	-2.8057721232681367	-5.183360478748212
X-SAT	2024-06-30T20:48:27.006+05:30	-90.0	2.0713445235869603	-6353556.287320511	-3.225965940093234	-1.316855521606515	-6.578626864487156
EXPRESS-AM33	2024-06-30T21:27:27.006+05:30	-90.0	-11.894911273266999	-6354597.264189477	0.6340180033525716	3.008588817841181	-0.014529781180269378
CHUANGXIN 1-02 (CX-1-02)	2024-06-30T21:56:27.006+05:30	90.0	41.00493064504913	-6350354.66439432	6.3981609462004	2.2242981024237367	-3.1397181391560856
PAKSAT-1R	2024-06-30T21:37:27.006+05:30	-90.0	-19.965526060841317	-6356252.816856597	1.049007911192236	2.889967445250483	-0.019716894296174417
HUANJING 1A (HJ-1A)	2024-06-30T22:24:27.006+05:30	-90.0	6.740469417430625	-6354493.388307725	-2.2623788576378323	-1.3317722366168727	-7.056069722133673
SHIJIAN-6 03A (SJ-6 03A)	2024-06-30T21:53:27.006+05:30	90.0	6.904326658895275	-6354349.617006927	2.7069683288893946	-0.7866189606040768	-7.0265531375659736
GSAT-8	2024-06-30T21:51:27.006+05:30	90.0	-21.462489441293215	-6356314.951561569	1.1260083259335691	2.8614461796965784	0.021229463770055246
COSMOS 2467	2024-06-30T21:40:27.006+05:30	-90.0	-20.024210819278682	-6351532.084806448	-3.930337967413603	2.757916864027095	-5.244208975748939
INTELSAT 17 (IS-17)	2024-06-30T22:05:27.006+05:30	90.0	-25.97558356189579	-6356734.496914808	1.3466200288567556	2.763435296314992	-0.005492254469034792
OPTUS D3	2024-06-30T22:00:27.006+05:30	90.0	17.10761663478112	-6356456.376412263	-0.9048399936652668	2.937239999392495	0.01176339276277631
BEIDOU-2 IGSO-3	2024-06-30T22:14:27.006+05:30	-75.65164455561555	-15.885367486908768	-6309217.9009345425	1.7817215737624605	2.419518424856505	0.6355957411410779
ASTRA 1N	2024-06-30T22:14:27.006+05:30	-90.0	-15.061557693375969	-6356606.981011969	0.7983724442502477	2.9696569707606018	0.015330421648291683
YAOGAN 11	2024-06-30T21:49:27.006+05:30	-90.0	7.006240946965695	-6353042.132313572	4.049204079558166	-0.814283126747213	6.320963220298524
FENGYUN 3B	2024-06-30T21:32:27.006+05:30	-90.0	20.19347401282594	-6351121.736315502	-4.584943748360557	-3.6655624601376613	-4.51115705621123
YAOGAN 10	2024-06-30T22:33:27.006+05:30	-90.0	18.240305676271262	-6355058.811371472	-1.3722127908573116	-1.5862004236250808	-7.248059649178044
YAOGAN 3	2024-06-30T22:14:27.006+05:30	-90.0	18.990434263915862	-6351391.651095255	-4.806837559816757	-3.3630466731448654	-4.737834921900845
GLOBALSTAR M069	2024-06-30T21:33:27.006+05:30	90.0	-27.549220468805967	-6353798.18517434	4.004372649329303	3.280992741728628	-4.940779303109283
ASTRA 1N	2024-06-30T22:28:27.006+05:30	-90.0	-11.54982502634952	-6356620.128804041	0.6149463647422206	3.0130362609892134	0.015951715596031903
ASTRA 1M	2024-06-30T22:33:27.006+05:30	-90.0	-10.8962252791634	-6356179.39271735	0.5805368381265336	3.01887592181153	-0.009909611751951621
BEIDOU-2 G4	2024-06-30T21:35:27.006+05:30	-90.0	30.42580985888897	-6356174.006195538	-1.5543314294385095	2.649055728606848	0.08836544329127675
GENESIS 2	2024-06-30T21:46:27.006+05:30	90.0	-25.405951930683877	-6353551.386963077	4.448717710471938	2.029473327483354	-5.911613945604149
BEIDOU-2 G4	2024-06-30T22:12:27.006+05:30	-90.0	39.68424397649039	-6356376.868216333	-1.96068668870098	2.3639392288552576	0.09399600270352768
SBIRS GEO-1 (USA 230)	2024-06-30T21:44:27.006+05:30	-90.0	-30.863620546689567	-6354717.322357098	1.5794064727109969	2.6369789660609313	0.05791120155651721
FENGYUN 3B	2024-06-30T23:18:27.006+05:30	-90.0	11.743482254240924	-6350194.5251124855	-5.531252862651632	-3.9589993373520644	-2.9176445858614555
DMSP 5D-3 F18 (USA 210)	2024-06-30T22:55:27.006+05:30	90.0	-17.593612682553626	-6353121.688128436	3.1244334696013922	-2.367596441081998	-6.320886148023706
OPTUS D3	2024-06-30T23:01:27.006+05:30	90.0	32.384630518116985	-6356424.266451146	-1.6469583504268293	2.5951797095165934	0.005669208846310003
COSMO-SKYMED 3	2024-06-30T22:58:27.006+05:30	-90.0	28.43712408416538	-6351624.133490658	5.513617000983421	1.24642740250395	5.004450662963434
