name	curr_time	lon	lat	alt	vel_x	vel_y	vel_z
SURCAL 159	2024-06-30T18:04:27.006+05:30	-88.93110536873729	14.20229936159183	-6265908.127915055	-1.728800802508787	7.189178260412126	0.035383328064395134
ASTRA 2C	2024-06-30T17:53:27.006+05:30	-90.0	69.27028021604961	-6356545.261840434	-2.8571615300626427	1.0821538181517447	0.3418955094156795
HST	2024-06-30T17:59:27.006+05:30	90.0	58.71161116488574	-6355600.6644064635	-5.497705858585296	4.020008189835257	-3.398766821744924
ARIRANG-2 (KOMPSAT-2)	2024-06-30T17:46:27.006+05:30	89.90121769804473	12.709713775456821	-4747641.733763813	-5.74513103063353	-3.918879579270933	2.8337862294643275
THEMIS E	2024-06-30T18:25:27.006+05:30	8.581368926395335	64.26448404842314	-6302602.162396235	-1.3129076942869746	-0.41089143807233236	-0.19206507488865987
HAIYANG-1B	2024-06-30T18:31:27.006+05:30	90.0	6.343392760906255	-6354953.347869453	1.974927573872436	-0.9002922610509906	-7.146703951469716
OPS 5712 (P/L 160)	2024-06-30T17:57:27.006+05:30	-90.0	-25.9600511642449	-6356741.993139402	1.1294126567290574	2.3139339132655534	7.051768743549023
INMARSAT 3-F2	2024-06-30T18:07:27.006+05:30	-86.30572892946975	-12.856274872093001	-5749651.042497943	0.6978463598863242	2.9867645991105967	0.12223364302638591
COSMOS 2409	2024-06-30T17:43:27.006+05:30	90.0	60.335264579676675	-6353981.980378292	-2.105198034079045	-1.681824123611505	6.601480204594636
ABS-6	2024-06-30T18:14:27.006+05:30	90.0	-29.474565526833867	-6356270.522464606	1.5117922281157985	2.6758496744259257	0.017164817513907873
COSMOS 2409	2024-06-30T17:45:27.006+05:30	90.0	61.31174227169499	-6353207.813069949	-2.451388368313085	-2.3015604286665443	6.288500953844165
TEMPSAT 1	2024-06-30T17:59:27.006+05:30	88.95621828633354	33.11939614240314	-6344960.10768686	6.054903109390105	4.023957467842142	-0.9797089548317206
XM-3 (RHYTHM)	2024-06-30T17:37:27.006+05:30	90.0	69.53700522741224	-6356569.354705962	-2.8802297658545757	1.074850639201566	-0.037817495081427406
CHUANGXIN 1 (CX-1)	2024-06-30T17:58:27.006+05:30	90.0	55.31840873472018	-6351883.426492565	-1.5887356382593543	-5.001764205394326	5.3296256577999745
COSMOS 2416	2024-06-30T18:08:27.006+05:30	90.0	52.928838596777275	-6351365.412337217	-3.9531948434178186	-3.086876416707442	5.087117676021547
THEMIS A	2024-06-30T17:51:27.006+05:30	8.605346459708818	53.719895509699434	-6296647.329971586	-1.050524697485587	0.13000110206692497	-0.19560680372250389
OMNI-M1	2024-06-30T18:09:27.006+05:30	90.0	69.30100579392725	-6351398.956235361	-3.7355625973712034	0.3279348250188796	3.059321168058322
RIGIDSPHERE 2 (LCS 4)	2024-06-30T18:27:27.006+05:30	90.0	-3.0515946694155303	-6356326.9457452595	0.5149257892220457	0.2840866701727069	-7.446181378542935
COSMOS 1989 (ETALON 1)	2024-06-30T17:47:27.006+05:30	-82.05288495284614	14.930560227071135	-6319378.886152342	-0.5657024061284762	3.9108484247852275	0.21255714638956483
CARTOSAT-2 (IRS-P7)	2024-06-30T17:48:27.006+05:30	-90.0	23.806222408237268	-6351464.639073829	6.284456899376215	0.8202595868295671	4.503620995678814
STELLA	2024-06-30T19:03:27.006+05:30	-89.46960554486284	27.813498585050983	-6102391.282435375	-4.148494515072967	-5.597921211718593	-2.609029434798099
CLOUDSAT	2024-06-30T18:40:27.006+05:30	-90.0	-23.772630714919938	-6351888.4869914455	-5.241216873765621	0.6592642641705972	-5.33611756967133
RADIO ROSTO (RS-15)	2024-06-30T18:52:27.006+05:30	90.0	52.30029974261447	-6350604.535363427	-5.874037249080145	-0.5438274171642655	3.5753983699643435
LAGEOS 2	2024-06-30T18:35:27.006+05:30	90.0	19.938410749542957	-6351619.952022451	-2.9129155460266767	2.9579045845363625	3.838123654712983
ARIRANG-2 (KOMPSAT-2)	2024-06-30T19:08:27.006+05:30	90.0	30.092905227151586	-6355850.761744334	-0.30605295442875585	-1.3779227324480132	7.368631126375929
OSCAR 7 (AO-7)	2024-06-30T19:13:27.006+05:30	88.40082964972906	48.15970152746891	-6326052.469721464	7.026320698236079	-0.6034893805605435	-1.1456894617617055
LANDSAT 7	2024-06-30T19:33:27.006+05:30	90.0	36.46918891441019	-6352168.044163742	4.6678104197267665	1.7579544269631249	-5.616438374548147
AQUA	2024-06-30T18:57:27.006+05:30	88.89305622849899	61.84390418538883	-6343273.1042017825	4.983708566212274	-5.600711768197053	0.4011728842662434
ABS-6	2024-06-30T19:21:27.006+05:30	90.0	-12.69406187749663	-6356222.981370903	0.6748378380295386	2.9985410133702017	0.006299718585658509
ORBCOMM FM06	2024-06-30T18:44:27.006+05:30	90.0	67.40900850862397	-6356149.73417277	-4.724171800516432	2.4540490413590597	-5.253355197061006
CARTOSAT-2 (IRS-P7)	2024-06-30T19:28:27.006+05:30	-90.0	14.634350023114512	-6355554.421817031	1.6477075835883834	-0.6893419393286115	7.548925172492552
SAUDISAT 3	2024-06-30T19:25:27.006+05:30	88.78839616855234	-3.0501017777764394	-6340712.3822712125	4.232381286085784	-6.166866277835299	-0.8074867606241902
